;ID PDC local;Statut du Point de charge;Arrondissement;ID Station local;ID Station itinerance;Nom station;Code INSEE commune;Type implantation;Nombre point de recharge;Date mise e  jour;Conditions dacces;Adresse station;Coordonnees geographiques;Gratuite;Paiement e  lacte;Paiement CB;Paiement autres;Reservation;Observations;SIREN amenageur;Contact amenageur;Nom amenageur;Nom operateur;Contact operateur;Telephone operateur;Nom enseigne;Tarification;ID PDC itinerance;Date mise en service;Accessibilite PMR;Restriction gabarit;Stationnement 2 roues;Puissance max KW;Prise type EF;Prise type 2;Prise type Combo CCS;Prise type Chademo;Prise type Autre;Prise type 3;Numero point livraison electricite;Horaires;Raccordement
0;FR*V75*E9003*01*2;En service;Paris centre;FR*V75*P9003*01;FRV75P900301;Paris | Rue Reaumur 5;75103.0;Voirie;3;23/09/2021;Acces libre;5 Rue Reaumur 75003 Paris;48.86472,2.359043;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9003012;15/03/2021;Non accessible;aucune restriction;FALSE;4.0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;7190014394549.0;24-juil;Direct
1;FR*V75*E9008*02*3;En service;08e Arrondissement;FR*V75*P9008*02;FRV75P900802;Paris | Rue de Rome 72;75108.0;Voirie;3;23/09/2021;Acces libre;72 Rue de Rome 75008 Paris;48.8807,2.321369;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9008023;15/03/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;7545441290530.0;24-juil;Direct
2;FR*V75*E9008*04*3;En service;08e Arrondissement;FR*V75*P9008*04;FRV75P900804;Paris | Rue Pierre Charron 55;75108.0;Voirie;3;23/09/2021;Acces libre;55 Rue Pierre Charron 75008 Paris;48.86937,2.303269;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9008043;15/03/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;7425325513507.0;24-juil;Direct
3;FR*V75*E9009*01*1;En service;09e Arrondissement;FR*V75*P9009*01;FRV75P900901;Paris | Boulevard de Clichy 31;75109.0;Voirie;3;23/09/2021;Acces libre;31 Boulevard de Clichy 75009 Paris;48.88264,2.335728;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9009011;15/03/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;7198118591442.0;24-juil;Direct
4;FR*V75*E9011*03*2;En service;11e Arrondissement;FR*V75*P9011*03;FRV75P901103;Paris | Rue Leon Frot 26;75111.0;Voirie;2;23/09/2021;Acces libre;26 Rue Leon Frot 75011 Paris;48.854664,2.387548;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9011032;26/10/2021;Non accessible;aucune restriction;FALSE;4.0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;50021508013224.0;24-juil;Direct
5;FR*V75*E9013*01*1;En service;13e Arrondissement;FR*V75*P9013*01;FRV75P901301;Paris | Avenue Claude Regaud 3;75113.0;Voirie;3;26/10/2021;Acces libre;3 Avenue Claude Regaud 75013 Paris;48.822433,2.372971;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9013011;26/10/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;50033085441740.0;24-juil;Direct
6;FR*V75*E9014*02*3;En service;14e Arrondissement;FR*V75*P9014*02;FRV75P901402;Paris | Avenue Reille 46;75114.0;Voirie;3;23/09/2021;Acces libre;46 Avenue Reille 75014 Paris;48.824387,2.336857;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9014023;15/03/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;7348046215212.0;24-juil;Direct
7;FR*V75*E9016*02*3;En service;16e Arrondissement;FR*V75*P9016*02;FRV75P901602;Paris | Avenue dIena 37;75116.0;Voirie;3;23/09/2021;Acces libre;37 Avenue dIena 75016 Paris;48.86851,2.295469;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9016023;15/03/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;7429377611388.0;24-juil;Direct
8;FR*V75*E9017*02*2;En service;17e Arrondissement;FR*V75*P9017*02;FRV75P901702;Paris | Avenue des Ternes 36;75117.0;Voirie;3;23/09/2021;Acces libre;36 Avenue des Ternes 75017 Paris;48.878963,2.293606;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9017022;15/03/2021;Non accessible;aucune restriction;FALSE;4.0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;7542546934501.0;24-juil;Direct
9;FR*V75*E9018*05*3;En service;18e Arrondissement;FR*V75*P9018*05;FRV75P901805;Paris | Rue Ordener 27;75118.0;Voirie;3;23/09/2021;Acces libre;27 Rue Ordener 75018 Paris;48.89061,2.35423;FALSE;TRUE;FALSE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75E9018053;15/03/2021;Non accessible;aucune restriction;FALSE;22.0;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;7594211188364.0;24-juil;Direct
10;FR*V75*EPX16*01*2;En service;16e Arrondissement;FR*V75*PPX16*01;FRV75PPX1601;Paris | Rue Molitor 16;75116.0;Voirie;6;21/09/2021;Acces libre;16 Rue Molitor 75016 Paris;48.845284,2.2640333;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX16012;01/04/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7465557063064.0;24-juil;Direct
11;FR*V75*EPX16*01*5;En service;16e Arrondissement;FR*V75*PPX16*01;FRV75PPX1601;Paris | Rue Molitor 16;75116.0;Voirie;6;21/09/2021;Acces libre;16 Rue Molitor 75016 Paris;48.845284,2.2640333;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX16015;01/04/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7465557063064.0;24-juil;Direct
12;FR*V75*EPX02*02*4;En service;Paris centre;FR*V75*PPX02*02;FRV75PPX0202;Paris | Rue dAlexandrie 7;75102.0;Voirie;4;23/09/2021;Acces libre;7 Rue dAlexandrie 75002 Paris;48.868008,2.3508835;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX02024;19/05/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7115918881870.0;24-juil;Direct
13;FR*V75*EPX04*03*3;En service;Paris centre;FR*V75*PPX04*03;FRV75PPX0403;Paris | Rue Malher 13;75104.0;Voirie;3;23/09/2021;Acces libre;13 Rue Malher 75004 Paris;48.85648,2.361378;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX04033;19/05/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7183357376770.0;24-juil;Direct
14;FR*V75*EPX04*04*1;En service;Paris centre;FR*V75*PPX04*04;FRV75PPX0404;Paris | Boulevard Bourdon 9;75104.0;Voirie;6;23/09/2021;Acces libre;9 Boulevard Bourdon 75004 Paris;48.848423,2.366004;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX04041;28/05/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7155426841372.0;24-juil;Direct
15;FR*V75*EPX05*01*4;En service;05e Arrondissement;FR*V75*PPX05*01;FRV75PPX0501;Paris | Quai de la Tournelle 21;75105.0;Voirie;4;23/09/2021;Acces libre;21 Quai de la Tournelle 75005 Paris;48.850033,2.354431;FALSE;TRUE;TRUE;TRUE;FALSE;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus dinformation - https://belib.paris.fr;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib;https://belib.paris;FRV75EPX05014;21/05/2021;Non accessible;aucune restriction;FALSE;7.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;7358900051305.0;24-juil;Direct
