,Arrondissement_x,Code INSEE commune_x,Type implantation,Nombre point de recharge,Paiement CB,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Statut du point de recharge,Type de chargeur,latitude,longitude,Arrondissement_x_encode,Type implantation_encode,Paiement CB_encode,Accessibilité PMR_encode,Restriction gabarit_encode,Stationnement 2 roues_encode,Statut du point de recharge_encode,Type de chargeur_encode
0,06e Arrondissement,75106.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.84824,2.339865,1,1,0,0,1,0,1,3
1,09e Arrondissement,75109.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Occupé (en charge),Prise type EF,48.88264,2.335728,4,1,0,0,1,0,1,3
2,13e Arrondissement,75113.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.82085,2.343626,8,1,0,0,1,0,1,3
3,14e Arrondissement,75114.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.841198,2.323891,9,1,0,0,1,0,1,3
4,16e Arrondissement,75116.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Disponible,Prise type EF,48.871464,2.289894,11,1,0,0,1,0,0,3
5,18e Arrondissement,75118.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.889732,2.33891,13,1,0,0,1,0,1,3
6,19e Arrondissement,75119.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Occupé (en charge),Prise type EF,48.88472,2.369961,14,1,0,0,1,0,1,3
7,Paris centre,75102.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.868008,2.3508835,16,1,1,0,1,0,1,3
8,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.85006,2.4019644,15,1,1,0,1,0,1,3
9,Paris centre,75104.0,Voirie,3,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.85648,2.361378,16,1,1,0,1,0,1,3
10,Paris centre,75104.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.848423,2.366004,16,1,1,0,1,0,1,3
11,05e Arrondissement,75105.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.841064,2.352048,0,1,1,0,1,0,1,3
12,07e Arrondissement,75107.0,Voirie,7,True,Réservé PMR,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.84828,2.315725,2,1,1,1,1,0,1,3
13,07e Arrondissement,75107.0,Voirie,7,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.84828,2.315725,2,1,1,0,1,1,0,3
14,12e Arrondissement,75112.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.83919,2.387853,7,1,1,0,1,0,0,3
15,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.86732,2.3906963,15,1,1,0,1,0,0,3
16,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.86732,2.3906963,15,1,1,0,1,0,0,3
17,11e Arrondissement,75111.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.858604,2.384125,6,1,1,0,1,0,0,3
18,11e Arrondissement,75111.0,Voirie,7,True,Réservé PMR,aucune restriction,False,7.0,Disponible,Prise type EF,48.858604,2.384125,6,1,1,1,1,0,0,3
19,09e Arrondissement,75112.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.880573,2.3317547,4,1,1,0,1,0,1,3
20,12e Arrondissement,75112.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.83641,2.3922555,7,1,1,0,1,0,1,3
21,11e Arrondissement,75111.0,Voirie,5,True,Réservé PMR,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.857796,2.390264,6,1,1,1,1,0,1,3
22,11e Arrondissement,75111.0,Voirie,2,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.865765,2.3664377,6,1,1,0,1,0,1,3
23,11e Arrondissement,75111.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.85579,2.374203,6,1,1,0,1,0,1,3
24,11e Arrondissement,75111.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.85579,2.374203,6,1,1,0,1,0,1,3
25,13e Arrondissement,75113.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.83186,2.372548,8,1,1,0,1,0,0,3
26,13e Arrondissement,75113.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.82195,2.345853,8,1,1,0,1,0,1,3
27,13e Arrondissement,75113.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.835163,2.3446052,8,1,1,0,1,0,1,3
28,12e Arrondissement,75112.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8444,2.407044,7,1,1,0,1,0,1,3
29,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,True,3.0,Occupé (en charge),Prise type EF,48.85926,2.267881,11,1,1,0,1,1,1,3
30,14e Arrondissement,75114.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.838314,2.3408663,9,1,1,0,1,0,1,3
